hash,kind,schema,id,name,description,attachments,triggers,events,workitem_order,sap_operation
\x39230786f96f931cae88e37d821d4c725e1893321f87fc79c9f5fc95bcbf0e90,logbook,sub-assembly-workflow,25,Sigma Objective 80° VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",614,\N
\x39230786f96f931cae88e37d821d4c725e1893321f87fc79c9f5fc95bcbf0e90,logbook,sub-assembly-workflow,25,Sigma Objective 80° VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",615,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",599,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",600,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",601,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",603,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",602,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",604,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",605,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",606,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",607,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",608,\N
\x945c3dac9381eb3e527967c6556f91c19193272c45bcdee84d960ae079750154,logbook,sub-assembly-workflow,25,Sigma Objective 80° HV/VP,Sigma Objective 80° Supermarket logbook,[],\N,"[{""event"": ""completed"", ""actions"": [{""bookYield"": {""operationNo"": ""0020""}}, {""bookToStock"": {""operationNo"": ""0030""}}]}]",609,\N
